Rank:1-Name:1-Num:2-Name:2-Num:3-Name:3-Num:4-Name:4-Num:5-Name:5-Num:6-Name:6-Num:7-Name:7-Num:8-Name:8-Num:9-Name:9-Num:10-Name:10-Num:11-Name:11-Num:12-Name:12-Num:13-Name:13-Num:14-Name:14-Num:15-Name:15-Num:16-Name:16-Num:17-Name:17-Num:Job
1:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:1:Pilot:0:Ship Ops:4:Repair:1:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
2:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:1:Pilot:0:Ship Ops:4:Repair:2:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
3:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:2:Pilot:0:Ship Ops:4:Repair:2:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
4:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:2:Pilot:0:Ship Ops:5:Repair:2:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
5:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:2:Pilot:0:Ship Ops:5:Repair:3:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
6:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:2:Pilot:0:Ship Ops:6:Repair:3:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
7:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:2:Pilot:0:Ship Ops:6:Repair:4:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
8:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:2:Pilot:0:Ship Ops:7:Repair:4:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
9:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:3:Pilot:0:Ship Ops:7:Repair:4:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
10:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:3:Pilot:0:Ship Ops:8:Repair:4:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
11:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:3:Pilot:0:Ship Ops:9:Repair:5:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
12:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:4:Pilot:0:Ship Ops:9:Repair:5:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
13:Pistols:0:Rifles:0:Blades:0:Evasion:0:Tactics:0:Stealth:0:Gunnery:4:Pilot:0:Ship Ops:9:Repair:6:Electronics:0:Navigation:0:Doctor:0:Command:0:Negotiate:0:Intimidate:0:Explore:0:Job:Crew Dog
